PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2
34.524,0.00E+00,5.08E+02,1.78E+02,2.62E+02,9.97E+01,3.41E+01,5.09E+01,3.01E+00,3.83E+00,2.18E+01,6.94E+00,1.03E+01,5.54E-01,7.01E-01,3.28E+00,7.83E-01,1.11E+00
34.8,5.79E+03,4.98E+02,1.74E+02,2.55E+02,9.77E+01,3.33E+01,4.96E+01,2.91E+00,3.71E+00,2.14E+01,6.77E+00,1.01E+01,5.36E-01,6.78E-01,3.22E+00,7.64E-01,1.08E+00
40,4.04E+03,3.53E+02,1.11E+02,1.60E+02,6.93E+01,2.15E+01,3.15E+01,1.64E+00,2.07E+00,1.52E+01,4.38E+00,6.41E+00,3.03E-01,3.80E-01,2.28E+00,4.95E-01,6.90E-01
50,2.26E+03,2.02E+02,5.34E+01,7.50E+01,3.95E+01,1.06E+01,1.51E+01,6.49E-01,8.06E-01,8.66E+00,2.17E+00,3.08E+00,1.21E-01,1.49E-01,1.30E+00,2.45E-01,3.31E-01
60,1.38E+03,1.26E+02,2.93E+01,4.02E+01,2.47E+01,5.89E+00,8.19E+00,3.05E-01,3.73E-01,5.42E+00,1.21E+00,1.68E+00,5.70E-02,6.92E-02,8.13E-01,1.37E-01,1.80E-01
80,6.26E+02,5.91E+01,1.13E+01,1.49E+01,1.16E+01,2.32E+00,3.09E+00,9.24E-02,1.10E-01,2.55E+00,4.77E-01,6.33E-01,1.74E-02,2.06E-02,3.82E-01,5.40E-02,6.84E-02
100,3.35E+02,3.24E+01,5.42E+00,6.89E+00,6.38E+00,1.12E+00,1.44E+00,3.68E-02,4.33E-02,1.40E+00,2.31E-01,2.96E-01,6.96E-03,8.10E-03,2.10E-01,2.62E-02,3.20E-02
150,1.06E+02,1.07E+01,1.43E+00,1.71E+00,2.11E+00,3.01E-01,3.64E-01,7.13E-03,8.15E-03,4.63E-01,6.23E-02,7.48E-02,1.35E-03,1.53E-03,6.95E-02,7.04E-03,8.09E-03
200,4.67E+01,4.82E+00,5.67E-01,6.45E-01,9.56E-01,1.20E-01,1.39E-01,2.30E-03,2.59E-03,2.10E-01,2.49E-02,2.86E-02,4.38E-04,4.90E-04,3.15E-02,2.82E-03,3.09E-03
300,1.51E+01,1.59E+00,1.60E-01,1.73E-01,3.17E-01,3.43E-02,3.75E-02,5.01E-04,5.61E-04,6.96E-02,7.13E-03,7.75E-03,9.55E-05,1.07E-04,1.05E-02,8.06E-04,8.38E-04
400,6.95E+00,7.46E-01,6.86E-02,7.21E-02,1.48E-01,1.47E-02,1.57E-02,1.81E-04,2.08E-04,3.26E-02,3.06E-03,3.24E-03,3.45E-05,3.95E-05,4.90E-03,3.47E-04,3.51E-04
500,3.93E+00,4.24E-01,3.67E-02,3.81E-02,8.44E-02,7.90E-03,8.30E-03,8.53E-05,1.02E-04,1.86E-02,1.64E-03,1.72E-03,1.63E-05,1.93E-05,2.79E-03,1.86E-04,1.86E-04
600,2.52E+00,2.73E-01,2.25E-02,2.33E-02,5.43E-02,4.86E-03,5.09E-03,4.78E-05,5.86E-05,1.19E-02,1.01E-03,1.05E-03,9.14E-06,1.12E-05,1.79E-03,1.14E-04,1.14E-04
800,1.31E+00,1.42E-01,1.09E-02,1.14E-02,2.83E-02,2.37E-03,2.49E-03,2.04E-05,2.66E-05,6.22E-03,4.93E-04,5.17E-04,3.88E-06,5.12E-06,9.33E-04,5.57E-05,5.61E-05
1000,8.17E-01,8.87E-02,6.53E-03,6.91E-03,1.77E-02,1.41E-03,1.51E-03,1.10E-05,1.57E-05,3.88E-03,2.94E-04,3.12E-04,2.11E-06,2.94E-06,5.84E-04,3.33E-05,3.40E-05
1500,3.78E-01,4.09E-02,2.82E-03,3.06E-03,8.14E-03,6.11E-04,6.67E-04,4.20E-06,6.43E-06,1.79E-03,1.27E-04,1.38E-04,7.87E-07,1.24E-06,2.69E-04,1.44E-05,1.52E-05
