PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.09E+04,3.94E+04,1.33E+05,1.89E+05,2.86E+05,3.21E+05,4.11E+05,1.19E+04,1.03E+04,2.72E+04,1.93E+04,2.74E+04,5.58E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.59E+04,2.90E+04,7.92E+04,1.08E+05,1.58E+05,1.00E+05,1.27E+05,6.44E+03,6.24E+03,1.47E+04,1.02E+04,1.41E+04,2.89E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.75E+04,2.10E+04,5.14E+04,6.42E+04,9.15E+04,4.01E+04,5.07E+04,4.09E+03,4.18E+03,9.20E+03,5.91E+03,8.05E+03,1.79E+02
2.2096,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.52E+04,1.85E+04,4.38E+04,5.25E+04,7.43E+04,2.88E+04,3.63E+04,3.48E+03,3.61E+03,7.76E+03,4.82E+03,6.52E+03,1.51E+02
2.2273,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.76E+04,1.50E+04,1.83E+04,4.32E+04,5.16E+04,7.31E+04,2.81E+04,3.54E+04,3.44E+03,3.57E+03,7.65E+03,4.74E+03,6.41E+03,1.49E+02
2.2984,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.75E+05,1.43E+04,1.75E+04,4.10E+04,4.83E+04,6.83E+04,2.52E+04,3.18E+04,3.26E+03,3.40E+03,7.24E+03,4.43E+03,5.99E+03,1.41E+02
2.3168,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.40E+04,4.75E+05,1.42E+04,1.73E+04,4.05E+04,4.75E+04,6.71E+04,2.46E+04,3.09E+04,3.22E+03,3.36E+03,7.14E+03,4.36E+03,5.89E+03,1.39E+02
2.7312,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.25E+05,3.16E+05,1.10E+04,1.37E+04,3.06E+04,3.32E+04,4.64E+04,1.39E+04,1.75E+04,2.45E+03,2.60E+03,5.33E+03,3.04E+03,4.07E+03,1.05E+02
2.7531,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+05,2.20E+05,3.09E+05,1.09E+04,1.36E+04,3.01E+04,3.26E+04,4.55E+04,1.35E+04,1.70E+04,2.42E+03,2.57E+03,5.25E+03,2.98E+03,3.99E+03,1.03E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.99E+04,1.75E+05,2.44E+05,9.50E+03,1.19E+04,2.59E+04,2.67E+04,3.71E+04,9.99E+03,1.25E+04,2.09E+03,2.23E+03,4.48E+03,2.45E+03,3.26E+03,8.86E+01
