Atom    Auger Transition/Notation(Barkla)    Auger Transition/Notation(Orbital)      Auger Energies/Core State Energies
Tc      N4                                   4d 3/2                                                                8.07
Tc      N5                                   4d 5/2                                                                7.78
Tc      O1                                   5s 1/2                                                                6.19
Ru      N4                                   4d 3/2                                                                9.15
Ru      N5                                   4d 5/2                                                                8.79
Ru      O1                                   5s 1/2                                                                6.38
Rh      N4                                   4d 3/2                                                               10.24
Rh      N5                                   4d 5/2                                                                9.81
Rh      O1                                   5s 1/2                                                                6.56
Pd      N4                                   4d 3/2                                                                8.14
Pd      N5                                   4d 5/2                                                                7.67
Ag      N4                                   4d 3/2                                                               12.47
Ag      N5                                   4d 5/2                                                               11.86
Ag      O1                                   5s 1/2                                                                6.89
Cd      N4                                   4d 3/2                                                               17.71
Cd      N5                                   4d 5/2                                                               16.97
Cd      O1                                   5s 1/2                                                                8.22
In      O1                                   5s 1/2                                                               10.83
In      O2                                   5p 1/2                                                                4.91
In      O3                                   5p 3/2                                                                4.58
Sn      O1                                   5s 1/2                                                               13.39
Sn      O2                                   5p 1/2                                                                6.28
Sn      O3                                   5p 3/2                                                                5.77
Sb      O1                                   5s 1/2                                                               15.92
Sb      O2                                   5p 1/2                                                                7.73
Sb      O3                                   5p 3/2                                                                7.02
Te      O1                                   5s 1/2                                                               18.45
Te      O2                                   5p 1/2                                                                9.23
Te      O3                                   5p 3/2                                                                8.31
I       O2                                   5p 1/2                                                               10.77
I       O3                                   5p 3/2                                                                9.63
Xe      O2                                   5p 1/2                                                               12.35
Xe      O3                                   5p 3/2                                                               10.96
Cs      O2                                   5p 1/2                                                               18.27
Cs      O3                                   5p 3/2                                                               16.43
Cs      P1                                   6s 1/2                                                                3.69
Ba      P1                                   6s 1/2                                                                4.64
Ba      M1,O2,P1                             3s1/2 5p1/2 6s1/2                                                    11.41
Ba      M1,O3,P1                             3s1/2 5p3/2 6s1/2                                                     8.89
La      O4                                   5d 3/2                                                                5.58
La      O5                                   5d 5/2                                                                5.34
La      P1                                   6s 1/2                                                                5.14
Ce      N6                                   4f 5/2                                                                6.85
Ce      N7                                   4f 7/2                                                                6.51
Ce      P1                                   6s 1/2                                                                4.81
Ce      M1,N4,O1                             3s1/2 4d3/2 5s1/2                                                     5.26
Ce      M1,N5,O1                             3s1/2 4d5/2 5s1/2                                                     1.74
Ce      M2,N6,N6                             3p1/2 4f5/2 4f5/2                                                     8.2
Ce      M2,N6,N7                             3p1/2 4f5/2 4f7/2                                                     7.82
