Atom    Barkla Notation    Orbital Notation      Binding Energies
------  -----------------  ------------------  ------------------
Li      K                  1s 1/2                           59.85
Be      K                  1s 1/2                          118.36
B       K                  1s 1/2                          195.61
C       K                  1s 1/2                          291.01
N       K                  1s 1/2                          404.85
O       K                  1s 1/2                          537.28
F       K                  1s 1/2                          688.37
Ne      K                  1s 1/2                          858.18
Na      L1                 2s 1/2                           64.48
Mg      L1                 2s 1/2                           89.46
Mg      L2                 2p 1/2                           56.55
Mg      L3                 2p 3/2                           56.24
Al      L1                 2s 1/2                          119.05
Al      L2                 2p 1/2                           81.2
Al      L3                 2p 3/2                           80.73
Si      L1                 2s 1/2                          151.55
Si      L2                 2p 1/2                          108.67
Si      L3                 2p 3/2                          107.98
P       L1                 2s 1/2                          187.15
P       L2                 2p 1/2                          139.14
P       L3                 2p 3/2                          138.18
S       L1                 2s 1/2                          225.97
S       L2                 2p 1/2                          172.73
S       L3                 2p 3/2                          171.4
Cl      L1                 2s 1/2                          268.05
Cl      L2                 2p 1/2                          209.48
Cl      L3                 2p 3/2                          207.7
Ar      L1                 2s 1/2                          313.43
Ar      L2                 2p 1/2                          249.43
Ar      L3                 2p 3/2                          247.09
K       L1                 2s 1/2                          371.16
K       L2                 2p 1/2                          301.65
K       L3                 2p 3/2                          298.64
Ca      L1                 2s 1/2                          434.11
Ca      L2                 2p 1/2                          359.04
Ca      L3                 2p 3/2                          355.2
Ca      M1                 3s 1/2                           53.16
Sc      L1                 2s 1/2                          494.29
Sc      L2                 2p 1/2                          413.68
Sc      L3                 2p 3/2                          408.86
Sc      M1                 3s 1/2                           60.91
Ti      L1                 2s 1/2                          557.44
Ti      L2                 2p 1/2                          471.22
Ti      L3                 2p 3/2                          465.24
Ti      M1                 3s 1/2                           68.61
V       L1                 2s 1/2                          623.79
V       L2                 2p 1/2                          531.88
V       L3                 2p 3/2                          524.54
V       M1                 3s 1/2                           76.42
V       M2                 3p 1/2                           50.65
Cr      L1                 2s 1/2                          687.34
Cr      L2                 2p 1/2                          589.74
Cr      L3                 2p 3/2                          580.81
Cr      M1                 3s 1/2                           79.19
Cr      M2                 3p 1/2                           51.25
Cr      M3                 3p 3/2                           50.2
Mn      L1                 2s 1/2                          766.47
Mn      L2                 2p 1/2                          662.97
Mn      L3                 2p 3/2                          652.22
Mn      M1                 3s 1/2                           92.58
Mn      M2                 3p 1/2                           62.09
Mn      M3                 3p 3/2                           60.78
Fe      L1                 2s 1/2                          842.96
Fe      L2                 2p 1/2                          733.55
Fe      L3                 2p 3/2                          720.69
Fe      M1                 3s 1/2                          101.01
Fe      M2                 3p 1/2                           68.04
Fe      M3                 3p 3/2                           66.45
Co      L1                 2s 1/2                          922.95
Co      L2                 2p 1/2                          807.54
Co      L3                 2p 3/2                          792.29
Co      M1                 3s 1/2                          109.69
Co      M2                 3p 1/2                           74.17
Co      M3                 3p 3/2                           72.26
Ni      L2                 2p 1/2                          884.98
Ni      L3                 2p 3/2                          867.02
Ni      M1                 3s 1/2                          118.64
Ni      M2                 3p 1/2                           80.48
Ni      M3                 3p 3/2                           78.21
Cu      L2                 2p 1/2                          958.53
Cu      L3                 2p 3/2                          937.49
Cu      M1                 3s 1/2                          121.26
Cu      M2                 3p 1/2                           80.5
Cu      M3                 3p 3/2                           77.86
Zn      M1                 3s 1/2                          137.43
Zn      M2                 3p 1/2                           93.74
Zn      M3                 3p 3/2                           90.59
Ga      M1                 3s 1/2                          157.75
Ga      M2                 3p 1/2                          111.01
Ga      M3                 3p 3/2                          107.28
Ge      M1                 3s 1/2                          179.25
Ge      M2                 3p 1/2                          129.38
Ge      M3                 3p 3/2                          124.98
As      M1                 3s 1/2                          202.02
As      M2                 3p 1/2                          148.95
As      M3                 3p 3/2                          143.78
As      M4                 3d 3/2                           51.32
As      M5                 3d 5/2                           50.55
Se      M1                 3s 1/2                          226.1
Se      M2                 3p 1/2                          169.77
Se      M3                 3p 3/2                          163.71
Se      M4                 3d 3/2                           64.91
Se      M5                 3d 5/2                           63.97
Br      M1                 3s 1/2                          251.49
Br      M2                 3p 1/2                          191.82
Br      M3                 3p 3/2                          184.78
Br      M4                 3d 3/2                           79.59
Br      M5                 3d 5/2                           78.45
Kr      M1                 3s 1/2                          278.17
Kr      M2                 3p 1/2                          215.12
Kr      M3                 3p 3/2                          206.96
Kr      M4                 3d 3/2                           95.35
Kr      M5                 3d 5/2                           93.98
Rb      M1                 3s 1/2                          313.18
Rb      M2                 3p 1/2                          246.69
Rb      M3                 3p 3/2                          237.29
Rb      M4                 3d 3/2                          119.2
Rb      M5                 3d 5/2                          117.57
Sr      M1                 3s 1/2                          350.32
Sr      M2                 3p 1/2                          280.32
Sr      M3                 3p 3/2                          269.53
Sr      M4                 3d 3/2                          144.93
Sr      M5                 3d 5/2                          143.01
Y       M1                 3s 1/2                          385.79
Y       M2                 3p 1/2                          312.26
Y       M3                 3p 3/2                          299.92
Y       M4                 3d 3/2                          168.74
Y       M5                 3d 5/2                          166.51
Y       N1                 4s 1/2                           53.35
Zr      M1                 3s 1/2                          422.06
Zr      M2                 3p 1/2                          344.93
Zr      M3                 3p 3/2                          330.88
Zr      M4                 3d 3/2                          193.09
Zr      M5                 3d 5/2                          190.49
Zr      N1                 4s 1/2                           59.96
Nb      M1                 3s 1/2                          455.98
Nb      M2                 3p 1/2                          375.22
Nb      M3                 3p 3/2                          359.28
Nb      M4                 3d 3/2                          214.82
Nb      M5                 3d 5/2                          211.81
Nb      N1                 4s 1/2                           63.45
Mo      M1                 3s 1/2                          494.09
Mo      M2                 3p 1/2                          409.64
Mo      M3                 3p 3/2                          391.63
Mo      M4                 3d 3/2                          240.45
Mo      M5                 3d 5/2                          237
Mo      N1                 4s 1/2                           69.63
Tc      M1                 3s 1/2                          533.42
Tc      M2                 3p 1/2                          445.24
Tc      M3                 3p 3/2                          424.95
Tc      M4                 3d 3/2                          267.01
Tc      M5                 3d 5/2                          263.07
Tc      N1                 4s 1/2                           75.85
Ru      M1                 3s 1/2                          574.03
Ru      M2                 3p 1/2                          482.06
Ru      M3                 3p 3/2                          459.29
Ru      M4                 3d 3/2                          294.53
Ru      M5                 3d 5/2                          290.05
Ru      N1                 4s 1/2                           82.14
Ru      N2                 4p 1/2                           54.19
Ru      N3                 4p 3/2                           50.66
Rh      M1                 3s 1/2                          615.95
Rh      M2                 3p 1/2                          520.15
Rh      M3                 3p 3/2                          494.66
Rh      M4                 3d 3/2                          323.03
Rh      M5                 3d 5/2                          317.96
Rh      N1                 4s 1/2                           88.52
Rh      N2                 4p 1/2                           58.84
Rh      N3                 4p 3/2                           54.78
Pd      M1                 3s 1/2                          654.94
Pd      M2                 3p 1/2                          555.25
Pd      M3                 3p 3/2                          526.8
Pd      M4                 3d 3/2                          348.24
Pd      M5                 3d 5/2                          342.51
Pd      N1                 4s 1/2                           91.01
Pd      N2                 4p 1/2                           59.68
Pd      N3                 4p 3/2                           55.09
Ag      M1                 3s 1/2                          703.8
Ag      M2                 3p 1/2                          600.19
Ag      M3                 3p 3/2                          568.53
Ag      M4                 3d 3/2                          382.99
Ag      M5                 3d 5/2                          376.55
Ag      N1                 4s 1/2                          101.61
Ag      N2                 4p 1/2                           68.41
Ag      N3                 4p 3/2                           63.14
Cd      M1                 3s 1/2                          755.37
Cd      M2                 3p 1/2                          647.79
Cd      M3                 3p 3/2                          612.63
Cd      M4                 3d 3/2                          420.06
Cd      M5                 3d 5/2                          412.86
Cd      N1                 4s 1/2                          113.36
Cd      N2                 4p 1/2                           78.22
Cd      N3                 4p 3/2                           72.19
In      M1                 3s 1/2                          811.24
In      M2                 3p 1/2                          699.62
