Atom    Auger Transition/Notation      Auger Energies/Core State Energies
Cl      L1,M1,M3                                                   227.81
Cl      L1,M2,M2                                                   241.01
Cl      L1,M2,M3                                                   241.17
Cl      L1,M3,M3                                                   241.33
Cl      L2,M1,M1                                                   155.72
Cl      L2,M1,M2                                                   169.08
Cl      L2,M1,M3                                                   169.24
Cl      L2,M2,M2                                                   182.44
Cl      L2,M2,M3                                                   182.6
Cl      L2,M3,M3                                                   182.76
Cl      L3,M1,M1                                                   153.94
Cl      L3,M1,M2                                                   167.3
Cl      L3,M1,M3                                                   167.46
Cl      L3,M2,M2                                                   180.66
Cl      L3,M2,M3                                                   180.82
Cl      L3,M3,M3                                                   180.98
Ar      L1                                                         313.43
Ar      L2                                                         249.43
Ar      L3                                                         247.09
Ar      M1                                                          28.92
Ar      M2                                                          14.62
Ar      M3                                                          14.43
Ar      L1,L2,M2                                                    18.71
Ar      L1,L2,M3                                                    18.94
Ar      L1,L3,M2                                                    21.38
Ar      L1,L3,M3                                                    21.61
Ar      L1,M1,M1                                                   244.01
Ar      L1,M1,M2                                                   259.54
Ar      L1,M1,M3                                                   259.77
Ar      L1,M2,M2                                                   275.06
Ar      L1,M2,M3                                                   275.3
Ar      L1,M3,M3                                                   275.53
Ar      L2,M1,M1                                                   180.01
Ar      L2,M1,M2                                                   195.53
Ar      L2,M1,M3                                                   195.77
Ar      L2,M2,M2                                                   211.06
Ar      L2,M2,M3                                                   211.3
Ar      L2,M3,M3                                                   211.53
Ar      L3,M1,M1                                                   177.67
Ar      L3,M1,M2                                                   193.19
Ar      L3,M1,M3                                                   193.43
Ar      L3,M2,M2                                                   208.72
Ar      L3,M2,M3                                                   208.96
Ar      L3,M3,M3                                                   209.19
K       L1                                                         371.16
K       L2                                                         301.65
K       L3                                                         298.64
K       M1                                                          40.5
K       M2                                                          23.75
K       M3                                                          23.47
K       L1,L2,M2                                                    11.93
K       L1,L2,M3                                                    12.28
K       L1,L2,N1                                                    35.98
K       L1,L3,M2                                                    15.36
K       L1,L3,M3                                                    15.71
K       L1,L3,N1                                                    39.41
K       L1,M1,M1                                                   277.5
K       L1,M1,M2                                                   295.45
K       L1,M1,M3                                                   295.8
K       L1,M1,N1                                                   319.5
K       L1,M2,M2                                                   313.4
K       L1,M2,M3                                                   313.75
K       L1,M2,N1                                                   337.45
K       L1,M3,M3                                                   314.09
K       L1,M3,N1                                                   337.79
K       L1,N1,N1                                                   361.49
K       L2,M1,M1                                                   207.99
K       L2,M1,M2                                                   225.94
K       L2,M1,M3                                                   226.28
K       L2,M1,N1                                                   249.98
K       L2,M2,M2                                                   243.89
K       L2,M2,M3                                                   244.23
K       L2,M2,N1                                                   267.94
K       L2,M3,M3                                                   244.58
K       L2,M3,N1                                                   268.28
K       L2,N1,N1                                                   291.98
K       L3,M1,M1                                                   204.98
K       L3,M1,M2                                                   222.93
K       L3,M1,M3                                                   223.28
K       L3,M1,N1                                                   246.97
K       L3,M2,M2                                                   240.88
K       L3,M2,M3                                                   241.22
K       L3,M2,N1                                                   264.93
K       L3,M3,M3                                                   241.57
K       L3,M3,N1                                                   265.27
K       L3,N1,N1                                                   288.97
K       M1,N1,N1                                                    30.83
K       M2,N1,N1                                                    14.08
K       M3,N1,N1                                                    13.8
Ca      L1                                                         434.11
Ca      L2                                                         359.04
Ca      L3                                                         355.2
Ca      M1                                                          53.16
Ca      M2                                                          34.01
Ca      M3                                                          33.6
Ca      L1,L2,M2                                                    10.95
Ca      L1,L2,M3                                                    11.42
Ca      L1,L2,N1                                                    42.08
Ca      L1,L3,M2                                                    15.28
Ca      L1,L3,M3                                                    15.75
Ca      L1,L3,N1                                                    46.41
Ca      L1,M1,M1                                                   320.04
Ca      L1,M1,M2                                                   340.27
Ca      L1,M1,M3                                                   340.75
Ca      L1,M1,N1                                                   371.4
Ca      L1,M2,M2                                                   360.5
Ca      L1,M2,M3                                                   360.98
Ca      L1,M2,N1                                                   391.63
Ca      L1,M3,M3                                                   361.45
Ca      L1,M3,N1                                                   392.11
Ca      L1,N1,N1                                                   422.76
Ca      L2,M1,M1                                                   244.97
Ca      L2,M1,M2                                                   265.2
Ca      L2,M1,M3                                                   265.68
Ca      L2,M1,N1                                                   296.33
Ca      L2,M2,M2                                                   285.43
Ca      L2,M2,M3                                                   285.91
Ca      L2,M2,N1                                                   316.56
Ca      L2,M3,M3                                                   286.38
Ca      L2,M3,N1                                                   317.04
Ca      L2,N1,N1                                                   347.69
Ca      L3,M1,M1                                                   241.13
Ca      L3,M1,M2                                                   261.36
Ca      L3,M1,M3                                                   261.83
Ca      L3,M1,N1                                                   292.49
Ca      L3,M2,M2                                                   281.59
Ca      L3,M2,M3                                                   282.06
Ca      L3,M2,N1                                                   312.72
Ca      L3,M3,M3                                                   282.54
Ca      L3,M3,N1                                                   313.19
Ca      L3,N1,N1                                                   343.85
Ca      M1,M2,N1                                                    10.68
Ca      M1,M3,N1                                                    11.15
Ca      M1,N1,N1                                                    41.81
Ca      M2,N1,N1                                                    22.66
Ca      M3,N1,N1                                                    22.25
Sc      L1                                                         494.29
Sc      L2                                                         413.68
Sc      L3                                                         408.86
Sc      M1                                                          60.91
Sc      M2                                                          39.6
Sc      M3                                                          39.06
Sc      L1,L2,M3                                                    10.1
Sc      L1,L2,M4                                                    44.1
Sc      L1,L2,M5                                                    44.15
Sc      L1,L2,N1                                                    45.75
Sc      L1,L3,M2                                                    14.89
Sc      L1,L3,M3                                                    15.5
Sc      L1,L3,M4                                                    49.51
Sc      L1,L3,M5                                                    49.55
Sc      L1,L3,N1                                                    51.15
Sc      L1,M1,M1                                                   364.77
Sc      L1,M1,M2                                                   387.18
Sc      L1,M1,M3                                                   387.79
Sc      L1,M1,M4                                                   421.8
Sc      L1,M1,M5                                                   421.84
Sc      L1,M1,N1                                                   423.44
Sc      L1,M2,M2                                                   409.59
Sc      L1,M2,M3                                                   410.2
Sc      L1,M2,M4                                                   444.2
Sc      L1,M2,M5                                                   444.25
Sc      L1,M2,N1                                                   445.85
Sc      L1,M3,M3                                                   410.81
