Atom    Auger Transition/Notation      Auger Energies/Core State Energies
As      M1,M5,M5                                                    87.5
As      M1,M5,N1                                                   125.34
As      M1,M5,N2                                                   135.79
As      M1,M5,N3                                                   136.16
As      M1,N1,N1                                                   163.17
As      M1,N1,N2                                                   173.63
As      M1,N1,N3                                                   173.99
As      M1,N2,N2                                                   184.08
As      M1,N2,N3                                                   184.45
As      M1,N3,N3                                                   184.81
As      M2,M4,M4                                                    32.72
As      M2,M4,M5                                                    33.57
As      M2,M4,N1                                                    71.41
As      M2,M4,N2                                                    81.86
As      M2,M4,N3                                                    82.23
As      M2,M5,M5                                                    34.43
As      M2,M5,N1                                                    72.27
As      M2,M5,N2                                                    82.72
As      M2,M5,N3                                                    83.08
As      M2,N1,N1                                                   110.1
As      M2,N1,N2                                                   120.55
As      M2,N1,N3                                                   120.92
As      M2,N2,N2                                                   131.01
As      M2,N2,N3                                                   131.38
As      M2,N3,N3                                                   131.74
As      M3,M4,M4                                                    27.55
As      M3,M4,M5                                                    28.41
As      M3,M4,N1                                                    66.24
As      M3,M4,N2                                                    76.7
As      M3,M4,N3                                                    77.06
As      M3,M5,M5                                                    29.26
As      M3,M5,N1                                                    67.1
As      M3,M5,N2                                                    77.55
As      M3,M5,N3                                                    77.92
As      M3,N1,N1                                                   104.93
As      M3,N1,N2                                                   115.39
As      M3,N1,N3                                                   115.75
As      M3,N2,N2                                                   125.84
As      M3,N2,N3                                                   126.2
As      M3,N3,N3                                                   126.57
As      M4,N1,N1                                                    12.47
As      M4,N1,N2                                                    22.93
As      M4,N1,N3                                                    23.29
As      M4,N2,N2                                                    33.38
As      M4,N2,N3                                                    33.75
As      M4,N3,N3                                                    34.11
As      M5,N1,N1                                                    11.7
As      M5,N1,N2                                                    22.16
As      M5,N1,N3                                                    22.52
As      M5,N2,N2                                                    32.61
As      M5,N2,N3                                                    32.97
As      M5,N3,N3                                                    33.34
Se      M1                                                         226.1
Se      M2                                                         169.77
Se      M3                                                         163.71
Se      M4                                                          64.91
Se      M5                                                          63.97
Se      N1                                                          20.99
Se      L1,L2,M4                                                    27.6
Se      L1,L2,M5                                                    28.64
Se      L1,L2,N1                                                    77.26
Se      L1,L2,N2                                                    89.14
Se      L1,L2,N3                                                    89.63
Se      L1,L3,M4                                                    73.15
Se      L1,L3,M5                                                    74.19
Se      L1,L3,N1                                                   122.82
Se      L1,L3,N2                                                   134.7
Se      L1,L3,N3                                                   135.19
Se      M1,M2,N1                                                    22.72
Se      M1,M2,N2                                                    34.6
Se      M1,M2,N3                                                    35.09
Se      M1,M3,N1                                                    29.27
Se      M1,M3,N2                                                    41.15
Se      M1,M3,N3                                                    41.64
Se      M1,M4,M4                                                    81.6
Se      M1,M4,M5                                                    82.64
Se      M1,M4,N1                                                   131.26
Se      M1,M4,N2                                                   143.14
Se      M1,M4,N3                                                   143.63
Se      M1,M5,M5                                                    83.68
Se      M1,M5,N1                                                   132.3
Se      M1,M5,N2                                                   144.18
Se      M1,M5,N3                                                   144.67
Se      M1,N1,N1                                                   180.93
Se      M1,N1,N2                                                   192.81
Se      M1,N1,N3                                                   193.3
Se      M1,N2,N2                                                   204.69
Se      M1,N2,N3                                                   205.18
Se      M1,N3,N3                                                   205.67
Se      M2,M4,M4                                                    25.27
Se      M2,M4,M5                                                    26.31
Se      M2,M4,N1                                                    74.94
Se      M2,M4,N2                                                    86.82
Se      M2,M4,N3                                                    87.31
Se      M2,M5,M5                                                    27.35
Se      M2,M5,N1                                                    75.97
Se      M2,M5,N2                                                    87.86
Se      M2,M5,N3                                                    88.34
Se      M2,N1,N1                                                   124.6
Se      M2,N1,N2                                                   136.48
Se      M2,N1,N3                                                   136.97
Se      M2,N2,N2                                                   148.36
Se      M2,N2,N3                                                   148.85
Se      M2,N3,N3                                                   149.34
Se      M3,M4,M4                                                    19.21
Se      M3,M4,M5                                                    20.25
Se      M3,M4,N1                                                    68.88
Se      M3,M4,N2                                                    80.76
Se      M3,M4,N3                                                    81.25
Se      M3,M5,M5                                                    21.29
Se      M3,M5,N1                                                    69.91
Se      M3,M5,N2                                                    81.8
Se      M3,M5,N3                                                    82.28
Se      M3,N1,N1                                                   118.54
Se      M3,N1,N2                                                   130.42
Se      M3,N1,N3                                                   130.91
Se      M3,N2,N2                                                   142.3
Se      M3,N2,N3                                                   142.79
Se      M3,N3,N3                                                   143.28
Se      M4,N1,N1                                                    19.74
Se      M4,N1,N2                                                    31.62
Se      M4,N1,N3                                                    32.11
Se      M4,N2,N2                                                    43.5
Se      M4,N2,N3                                                    43.99
Se      M4,N3,N3                                                    44.48
Se      M5,N1,N1                                                    18.8
Se      M5,N1,N2                                                    30.68
Se      M5,N1,N3                                                    31.17
Se      M5,N2,N2                                                    42.56
Se      M5,N2,N3                                                    43.05
Se      M5,N3,N3                                                    43.54
Br      M1                                                         251.49
Br      M2                                                         191.82
Br      M3                                                         184.78
Br      M4                                                          79.59
Br      M5                                                          78.45
Br      N1                                                          24.18
Br      N2                                                          11.59
Br      N3                                                          11.03
Br      L1,L2,M4                                                    16.53
Br      L1,L2,M5                                                    17.79
Br      L1,L2,N1                                                    78.19
Br      L1,L2,N2                                                    91.49
Br      L1,L2,N3                                                    92.13
Br      L1,L3,M4                                                    68.23
Br      L1,L3,M5                                                    69.49
Br      L1,L3,N1                                                   129.89
Br      L1,L3,N2                                                   143.19
Br      L1,L3,N3                                                   143.83
Br      M1,M2,N1                                                    22.21
Br      M1,M2,N2                                                    35.51
Br      M1,M2,N3                                                    36.15
Br      M1,M3,N1                                                    29.81
Br      M1,M3,N2                                                    43.11
Br      M1,M3,N3                                                    43.75
Br      M1,M4,M4                                                    76.55
Br      M1,M4,M5                                                    77.81
Br      M1,M4,N1                                                   138.21
Br      M1,M4,N2                                                   151.51
Br      M1,M4,N3                                                   152.15
Br      M1,M5,M5                                                    79.06
Br      M1,M5,N1                                                   139.47
Br      M1,M5,N2                                                   152.77
Br      M1,M5,N3                                                   153.4
Br      M1,N1,N1                                                   199.87
Br      M1,N1,N2                                                   213.17
Br      M1,N1,N3                                                   213.81
Br      M1,N2,N2                                                   226.47
Br      M1,N2,N3                                                   227.11
Br      M1,N3,N3                                                   227.74
Br      M2,M4,M4                                                    16.88
Br      M2,M4,M5                                                    18.13
Br      M2,M4,N1                                                    78.54
Br      M2,M4,N2                                                    91.84
Br      M2,M4,N3                                                    92.47
Br      M2,M5,M5                                                    19.39
Br      M2,M5,N1                                                    79.79
Br      M2,M5,N2                                                    93.09
Br      M2,M5,N3                                                    93.73
Br      M2,N1,N1                                                   140.2
Br      M2,N1,N2                                                   153.5
Br      M2,N1,N3                                                   154.13
Br      M2,N2,N2                                                   166.8
Br      M2,N2,N3                                                   167.44
Br      M2,N3,N3                                                   168.07
Br      M3,M4,M5                                                    11.09
Br      M3,M4,N1                                                    71.5
Br      M3,M4,N2                                                    84.8
Br      M3,M4,N3                                                    85.44
Br      M3,M5,M5                                                    12.35
Br      M3,M5,N1                                                    72.75
Br      M3,M5,N2                                                    86.05
Br      M3,M5,N3                                                    86.69
Br      M3,N1,N1                                                   133.16
Br      M3,N1,N2                                                   146.46
Br      M3,N1,N3                                                   147.09
Br      M3,N2,N2                                                   159.76
Br      M3,N2,N3                                                   160.4
Br      M3,N3,N3                                                   161.03
Br      M4,N1,N1                                                    27.97
Br      M4,N1,N2                                                    41.27
Br      M4,N1,N3                                                    41.91
Br      M4,N2,N2                                                    54.57
Br      M4,N2,N3                                                    55.2
Br      M4,N3,N3                                                    55.84
Br      M5,N1,N1                                                    26.83
Br      M5,N1,N2                                                    40.13
Br      M5,N1,N3                                                    40.77
Br      M5,N2,N2                                                    53.43
Br      M5,N2,N3                                                    54.06
Br      M5,N3,N3                                                    54.7
Kr      M1                                                         278.17
Kr      M2                                                         215.12
Kr      M3                                                         206.96
Kr      M4                                                          95.35
Kr      M5                                                          93.98
Kr      N1                                                          27.44
Kr      N2                                                          13.43
Kr      N3                                                          12.72
Kr      L1,L2,N1                                                    72.52
Kr      L1,L2,N2                                                    87.52
Kr      L1,L2,N3                                                    88.37
Kr      L1,L3,M4                                                    55.77
Kr      L1,L3,M5                                                    57.27
Kr      L1,L3,N1                                                   130.97
Kr      L1,L3,N2                                                   145.97
Kr      L1,L3,N3                                                   146.81
Kr      M1,M2,N1                                                    15.19
Kr      M1,M2,N2                                                    30.19
Kr      M1,M2,N3                                                    31.03
Kr      M1,M3,N1                                                    23.97
Kr      M1,M3,N2                                                    38.97
Kr      M1,M3,N3                                                    39.81
Kr      M1,M4,M4                                                    63.62
Kr      M1,M4,M5                                                    65.12
Kr      M1,M4,N1                                                   138.81
Kr      M1,M4,N2                                                   153.81
Kr      M1,M4,N3                                                   154.66
Kr      M1,M5,M5                                                    66.62
Kr      M1,M5,N1                                                   140.31
Kr      M1,M5,N2                                                   155.31
Kr      M1,M5,N3                                                   156.16
Kr      M1,N1,N1                                                   214.01
Kr      M1,N1,N2                                                   229.01
Kr      M1,N1,N3                                                   229.86
Kr      M1,N2,N2                                                   244.01
Kr      M1,N2,N3                                                   244.86
Kr      M1,N3,N3                                                   245.7
Kr      M2,M4,N1                                                    75.77
Kr      M2,M4,N2                                                    90.77
Kr      M2,M4,N3                                                    91.61
Kr      M2,M5,N1                                                    77.27
Kr      M2,M5,N2                                                    92.27
Kr      M2,M5,N3                                                    93.11
Kr      M2,N1,N1                                                   150.96
Kr      M2,N1,N2                                                   165.96
Kr      M2,N1,N3                                                   166.81
Kr      M2,N2,N2                                                   180.96
Kr      M2,N2,N3                                                   181.81
Kr      M2,N3,N3                                                   182.65
Kr      M3,M4,N1                                                    67.61
Kr      M3,M4,N2                                                    82.61
Kr      M3,M4,N3                                                    83.45
Kr      M3,M5,N1                                                    69.11
Kr      M3,M5,N2                                                    84.11
Kr      M3,M5,N3                                                    84.95
Kr      M3,N1,N1                                                   142.8
Kr      M3,N1,N2                                                   157.8
Kr      M3,N1,N3                                                   158.64
Kr      M3,N2,N2                                                   172.8
Kr      M3,N2,N3                                                   173.64
Kr      M3,N3,N3                                                   174.49
Kr      M4,N1,N1                                                    31.19
Kr      M4,N1,N2                                                    46.19
Kr      M4,N1,N3                                                    47.03
Kr      M4,N2,N2                                                    61.19
Kr      M4,N2,N3                                                    62.03
Kr      M4,N3,N3                                                    62.88
Kr      M5,N1,N1                                                    29.82
Kr      M5,N1,N2                                                    44.82
Kr      M5,N1,N3                                                    45.67
Kr      M5,N2,N2                                                    59.82
Kr      M5,N2,N3                                                    60.67
Kr      M5,N3,N3                                                    61.51
Rb      M1                                                         313.18
Rb      M2                                                         246.69
Rb      M3                                                         237.29
Rb      M4                                                         119.2
Rb      M5                                                         117.57
Rb      N1                                                          36.72
Rb      N2                                                          20.73
Rb      N3                                                          19.75
Rb      L1,L2,N1                                                    66.85
Rb      L1,L2,N2                                                    83.8
Rb      L1,L2,N3                                                    84.93
Rb      L1,L2,O1                                                   103.84
Rb      L1,L3,M4                                                    42.19
Rb      L1,L3,M5                                                    43.96
Rb      L1,L3,N1                                                   132.69
Rb      L1,L3,N2                                                   149.65
Rb      L1,L3,N3                                                   150.78
Rb      L1,L3,O1                                                   169.69
Rb      M1,M2,N2                                                    25.08
Rb      M1,M2,N3                                                    26.2
Rb      M1,M2,O1                                                    45.12
Rb      M1,M3,N1                                                    18.22
Rb      M1,M3,N2                                                    35.17
Rb      M1,M3,N3                                                    36.3
Rb      M1,M3,O1                                                    55.21
Rb      M1,M4,M4                                                    49.05
Rb      M1,M4,M5                                                    50.83
Rb      M1,M4,N1                                                   139.56
Rb      M1,M4,N2                                                   156.52
Rb      M1,M4,N3                                                   157.64
Rb      M1,M4,O1                                                   176.56
Rb      M1,M5,M5                                                    52.6
Rb      M1,M5,N1                                                   141.34
Rb      M1,M5,N2                                                   158.29
Rb      M1,M5,N3                                                   159.42
Rb      M1,M5,O1                                                   178.33
Rb      M1,N1,N1                                                   230.07
Rb      M1,N1,N2                                                   247.03
Rb      M1,N1,N3                                                   248.15
Rb      M1,N1,O1                                                   267.06
Rb      M1,N2,N2                                                   263.98
Rb      M1,N2,N3                                                   265.1
Rb      M1,N2,O1                                                   284.02
Rb      M1,N3,N3                                                   266.23
Rb      M1,N3,O1                                                   285.14
Rb      M1,O1,O1                                                   304.06
Rb      M2,M4,N1                                                    73.07
Rb      M2,M4,N2                                                    90.03
Rb      M2,M4,N3                                                    91.15
Rb      M2,M4,O1                                                   110.06
Rb      M2,M5,N1                                                    74.84
Rb      M2,M5,N2                                                    91.8
Rb      M2,M5,N3                                                    92.93
Rb      M2,M5,O1                                                   111.84
Rb      M2,N1,N1                                                   163.58
Rb      M2,N1,N2                                                   180.53
Rb      M2,N1,N3                                                   181.66
Rb      M2,N1,O1                                                   200.57
Rb      M2,N2,N2                                                   197.49
Rb      M2,N2,N3                                                   198.62
Rb      M2,N2,O1                                                   217.53
Rb      M2,N3,N3                                                   199.74
Rb      M2,N3,O1                                                   218.66
Rb      M2,O1,O1                                                   237.57
Rb      M3,M4,N1                                                    63.67
Rb      M3,M4,N2                                                    80.62
Rb      M3,M4,N3                                                    81.75
Rb      M3,M4,O1                                                   100.66
Rb      M3,M5,N1                                                    65.44
Rb      M3,M5,N2                                                    82.4
Rb      M3,M5,N3                                                    83.53
Rb      M3,M5,O1                                                   102.44
Rb      M3,N1,N1                                                   154.18
Rb      M3,N1,N2                                                   171.13
Rb      M3,N1,N3                                                   172.26
Rb      M3,N1,O1                                                   191.17
Rb      M3,N2,N2                                                   188.09
Rb      M3,N2,N3                                                   189.22
Rb      M3,N2,O1                                                   208.13
Rb      M3,N3,N3                                                   190.34
Rb      M3,N3,O1                                                   209.25
Rb      M3,O1,O1                                                   228.17
Rb      M4,N1,N1                                                    36.09
Rb      M4,N1,N2                                                    53.05
Rb      M4,N1,N3                                                    54.17
Rb      M4,N1,O1                                                    73.09
Rb      M4,N2,N2                                                    70
Rb      M4,N2,N3                                                    71.12
Rb      M4,N2,O1                                                    90.04
Rb      M4,N3,N3                                                    72.25
Rb      M4,N3,O1                                                    91.16
Rb      M4,O1,O1                                                   110.08
Rb      M5,N1,N1                                                    34.46
Rb      M5,N1,N2                                                    51.41
Rb      M5,N1,N3                                                    52.54
Rb      M5,N1,O1                                                    71.45
Rb      M5,N2,N2                                                    68.37
Rb      M5,N2,N3                                                    69.5
Rb      M5,N2,O1                                                    88.41
Rb      M5,N3,N3                                                    70.62
Rb      M5,N3,O1                                                    89.53
Rb      M5,O1,O1                                                   108.45
Rb      N1,O1,O1                                                    27.6
Rb      N2,O1,O1                                                    11.61
Rb      N3,O1,O1                                                    10.63
Sr      M1                                                         350.32
Sr      M2                                                         280.32
Sr      M3                                                         269.53
Sr      M4                                                         144.93
Sr      M5                                                         143.01
Sr      N1                                                          46.39
Sr      N2                                                          28.47
Sr      N3                                                          27.2
Sr      L1,L2,N1                                                    64.33
Sr      L1,L2,N2                                                    83.11
Sr      L1,L2,N3                                                    84.53
Sr      L1,L2,O1                                                   108.81
Sr      L1,L3,M4                                                    31.31
Sr      L1,L3,M5                                                    33.39
Sr      L1,L3,N1                                                   138.28
Sr      L1,L3,N2                                                   157.06
Sr      L1,L3,N3                                                   158.48
Sr      L1,L3,O1                                                   182.76
Sr      M1,M2,N2                                                    22.94
Sr      M1,M2,N3                                                    24.36
Sr      M1,M2,O1                                                    48.64
Sr      M1,M3,N1                                                    15.72
Sr      M1,M3,N2                                                    34.5
Sr      M1,M3,N3                                                    35.92
Sr      M1,M3,O1                                                    60.2
Sr      M1,M4,M4                                                    36.65
Sr      M1,M4,M5                                                    38.72
Sr      M1,M4,N1                                                   143.61
Sr      M1,M4,N2                                                   162.39
Sr      M1,M4,N3                                                   163.81
Sr      M1,M4,O1                                                   188.09
Sr      M1,M5,M5                                                    40.8
Sr      M1,M5,N1                                                   145.69
Sr      M1,M5,N2                                                   164.47
Sr      M1,M5,N3                                                   165.89
Sr      M1,M5,O1                                                   190.17
Sr      M1,N1,N1                                                   250.58
Sr      M1,N1,N2                                                   269.36
Sr      M1,N1,N3                                                   270.78
Sr      M1,N1,O1                                                   295.06
Sr      M1,N2,N2                                                   288.14
Sr      M1,N2,N3                                                   289.56
Sr      M1,N2,O1                                                   313.84
Sr      M1,N3,N3                                                   290.98
Sr      M1,N3,O1                                                   315.26
Sr      M1,O1,O1                                                   339.54
Sr      M2,M4,N1                                                    73.61
Sr      M2,M4,N2                                                    92.39
Sr      M2,M4,N3                                                    93.81
Sr      M2,M4,O1                                                   118.09
Sr      M2,M5,N1                                                    75.69
Sr      M2,M5,N2                                                    94.47
Sr      M2,M5,N3                                                    95.89
Sr      M2,M5,O1                                                   120.17
Sr      M2,N1,N1                                                   180.58
Sr      M2,N1,N2                                                   199.36
Sr      M2,N1,N3                                                   200.78
Sr      M2,N1,O1                                                   225.06
Sr      M2,N2,N2                                                   218.14
Sr      M2,N2,N3                                                   219.56
Sr      M2,N2,O1                                                   243.84
Sr      M2,N3,N3                                                   220.98
Sr      M2,N3,O1                                                   245.26
Sr      M2,O1,O1                                                   269.54
Sr      M3,M4,N1                                                    62.82
Sr      M3,M4,N2                                                    81.6
Sr      M3,M4,N3                                                    83.02
Sr      M3,M4,O1                                                   107.3
Sr      M3,M5,N1                                                    64.9
Sr      M3,M5,N2                                                    83.68
Sr      M3,M5,N3                                                    85.1
Sr      M3,M5,O1                                                   109.38
Sr      M3,N1,N1                                                   169.79
Sr      M3,N1,N2                                                   188.57
Sr      M3,N1,N3                                                   189.99
Sr      M3,N1,O1                                                   214.27
Sr      M3,N2,N2                                                   207.35
Sr      M3,N2,N3                                                   208.77
Sr      M3,N2,O1                                                   233.05
Sr      M3,N3,N3                                                   210.19
Sr      M3,N3,O1                                                   234.47
Sr      M3,O1,O1                                                   258.75
Sr      M4,N1,N1                                                    45.19
Sr      M4,N1,N2                                                    63.97
Sr      M4,N1,N3                                                    65.39
Sr      M4,N1,O1                                                    89.67
Sr      M4,N2,N2                                                    82.75
Sr      M4,N2,N3                                                    84.17
Sr      M4,N2,O1                                                   108.45
Sr      M4,N3,N3                                                    85.59
Sr      M4,N3,O1                                                   109.87
Sr      M4,O1,O1                                                   134.15
Sr      M5,N1,N1                                                    43.27
Sr      M5,N1,N2                                                    62.05
Sr      M5,N1,N3                                                    63.47
Sr      M5,N1,O1                                                    87.75
Sr      M5,N2,N2                                                    80.83
Sr      M5,N2,N3                                                    82.25
Sr      M5,N2,O1                                                   106.53
Sr      M5,N3,N3                                                    83.67
Sr      M5,N3,O1                                                   107.95
Sr      M5,O1,O1                                                   132.23
Sr      N1,N3,O1                                                    11.33
Sr      N1,O1,O1                                                    35.61
Sr      N2,O1,O1                                                    17.69
Sr      N3,O1,O1                                                    16.42
Y       M1                                                         385.79
Y       M2                                                         312.26
Y       M3                                                         299.92
Y       M4                                                         168.74
Y       M5                                                         166.51
Y       N1                                                          53.35
Y       N2                                                          33.71
Y       N3                                                          32.14
Y       L1,L2,N1                                                    62.3
Y       L1,L2,N2                                                    82.78
Y       L1,L2,N3                                                    84.51
Y       L1,L2,N4                                                   113
Y       L1,L2,N5                                                   113.13
Y       L1,L2,O1                                                   113.05
Y       L1,L3,M4                                                    20.83
Y       L1,L3,M5                                                    23.25
Y       L1,L3,N1                                                   145.09
Y       L1,L3,N2                                                   165.58
Y       L1,L3,N3                                                   167.31
Y       L1,L3,N4                                                   195.79
Y       L1,L3,N5                                                   195.93
Y       L1,L3,O1                                                   195.85
Y       M1,M2,N2                                                    21.02
Y       M1,M2,N3                                                    22.75
Y       M1,M2,N4                                                    51.24
Y       M1,M2,N5                                                    51.37
Y       M1,M2,O1                                                    51.29
Y       M1,M3,N1                                                    13.74
Y       M1,M3,N2                                                    34.22
Y       M1,M3,N3                                                    35.95
Y       M1,M3,N4                                                    64.44
Y       M1,M3,N5                                                    64.57
Y       M1,M3,O1                                                    64.49
Y       M1,M4,M4                                                    23.96
Y       M1,M4,M5                                                    26.38
Y       M1,M4,N1                                                   148.22
Y       M1,M4,N2                                                   168.7
Y       M1,M4,N3                                                   170.44
Y       M1,M4,N4                                                   198.92
Y       M1,M4,N5                                                   199.05
Y       M1,M4,O1                                                   198.97
Y       M1,M5,M5                                                    28.79
Y       M1,M5,N1                                                   150.64
Y       M1,M5,N2                                                   171.12
Y       M1,M5,N3                                                   172.85
Y       M1,M5,N4                                                   201.34
Y       M1,M5,N5                                                   201.47
Y       M1,M5,O1                                                   201.39
Y       M1,N1,N1                                                   272.48
Y       M1,N1,N2                                                   292.96
Y       M1,N1,N3                                                   294.69
Y       M1,N1,N4                                                   323.18
Y       M1,N1,N5                                                   323.31
Y       M1,N1,O1                                                   323.24
Y       M1,N2,N2                                                   313.45
Y       M1,N2,N3                                                   315.18
Y       M1,N2,N4                                                   343.67
Y       M1,N2,N5                                                   343.8
Y       M1,N2,O1                                                   343.72
Y       M1,N3,N3                                                   316.91
Y       M1,N3,N4                                                   345.4
Y       M1,N3,N5                                                   345.53
Y       M1,N3,O1                                                   345.45
Y       M1,N4,N4                                                   373.88
Y       M1,N4,N5                                                   374.01
Y       M1,N4,O1                                                   373.94
Y       M1,N5,N5                                                   374.14
Y       M1,N5,O1                                                   374.07
Y       M1,O1,O1                                                   373.99
Y       M2,M4,N1                                                    74.69
Y       M2,M4,N2                                                    95.17
Y       M2,M4,N3                                                    96.9
Y       M2,M4,N4                                                   125.39
Y       M2,M4,N5                                                   125.52
Y       M2,M4,O1                                                   125.44
Y       M2,M5,N1                                                    77.1
Y       M2,M5,N2                                                    97.59
Y       M2,M5,N3                                                    99.32
Y       M2,M5,N4                                                   127.8
Y       M2,M5,N5                                                   127.93
Y       M2,M5,O1                                                   127.86
Y       M2,N1,N1                                                   198.95
Y       M2,N1,N2                                                   219.44
Y       M2,N1,N3                                                   221.16
Y       M2,N1,N4                                                   249.65
Y       M2,N1,N5                                                   249.78
Y       M2,N1,O1                                                   249.7
Y       M2,N2,N2                                                   239.92
Y       M2,N2,N3                                                   241.65
Y       M2,N2,N4                                                   270.13
Y       M2,N2,N5                                                   270.26
Y       M2,N2,O1                                                   270.19
Y       M2,N3,N3                                                   243.38
Y       M2,N3,N4                                                   271.87
Y       M2,N3,N5                                                   272
Y       M2,N3,O1                                                   271.92
Y       M2,N4,N4                                                   300.35
Y       M2,N4,N5                                                   300.48
Y       M2,N4,O1                                                   300.41
Y       M2,N5,N5                                                   300.61
Y       M2,N5,O1                                                   300.54
Y       M2,O1,O1                                                   300.46
Y       M3,M4,N1                                                    62.35
Y       M3,M4,N2                                                    82.83
Y       M3,M4,N3                                                    84.56
Y       M3,M4,N4                                                   113.05
Y       M3,M4,N5                                                   113.18
Y       M3,M4,O1                                                   113.1
Y       M3,M5,N1                                                    64.77
Y       M3,M5,N2                                                    85.25
Y       M3,M5,N3                                                    86.98
Y       M3,M5,N4                                                   115.47
Y       M3,M5,N5                                                   115.6
Y       M3,M5,O1                                                   115.52
Y       M3,N1,N1                                                   186.61
